DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
0,Sunday,10AM,11PM,17MFF-0191,370 DRUMM ST,1013323,,10:00,23:00,13403000,10/25/2011 08:21:31 AM,10/25/2011 08:21:57 AM,201,12,N,Wu Wei LLC dba MoBowl,6013588.438,2118217.065,37.79698447,-122.3970152,"(37.796984468437, -122.397015212071)"
1,Monday,10AM,3PM,17MFF-0191,75 HOWARD ST,1013322,,10:00,15:00,12160001,10/25/2011 08:20:48 AM,10/25/2011 08:20:59 AM,3741,31,N,Wu Wei LLC dba MoBowl,6014987.218,2116234.805,37.79161941,-122.3920364,"(37.7916194086556, -122.392036366449)"
3,Wednesday,10AM,3PM,17MFF-0191,75 HOWARD ST,1013322,,10:00,15:00,12160001,10/25/2011 08:20:48 AM,10/25/2011 08:20:59 AM,3741,31,N,Wu Wei LLC dba MoBowl,6014987.218,2116234.805,37.79161941,-122.3920364,"(37.7916194086556, -122.392036366449)"
2,Tuesday,10AM,3PM,17MFF-0191,253 DRUMM ST,1013324,,10:00,15:00,4972000,10/25/2011 08:22:22 AM,10/25/2011 08:22:37 AM,203,13,N,Wu Wei LLC dba MoBowl,6013602.811,2117830.09,37.79592273,-122.3969383,"(37.795922726101, -122.396938330446)"
1,Monday,10AM,2PM,17MFF-0191,500 HOWARD ST,1013320,,10:00,14:00,7033000,10/25/2011 08:18:21 AM,10/25/2011 08:19:13 AM,3721,11,N,Wu Wei LLC dba MoBowl,6013778.739,2115134.048,37.78852982,-122.3961405,"(37.7885298177102, -122.396140544185)"
5,Friday,10AM,2PM,17MFF-0191,500 HOWARD ST,1013320,,10:00,14:00,7033000,10/25/2011 08:18:21 AM,10/25/2011 08:19:13 AM,3721,11,N,Wu Wei LLC dba MoBowl,6013778.739,2115134.048,37.78852982,-122.3961405,"(37.7885298177102, -122.396140544185)"
0,Sunday,8AM,5PM,17MFF-0195,1888 MISSION ST,1036076,,8:00,17:00,9114000,11/08/2017 09:43:28 AM,11/08/2017 09:44:53 AM,3547,3,N,CARDONA'S FOOD TRUCK,6006748.628,2107389.255,37.76687082,-122.4199139,"(37.7668708192823, -122.41991389794)"
3,Wednesday,8AM,5PM,17MFF-0195,1800 MISSION ST,1036073,,8:00,17:00,9114000,11/08/2017 09:41:20 AM,,3547,1,N,CARDONA'S FOOD TRUCK,6006720.595,2107881.705,37.76822139,-122.4200458,"(37.7682213930814, -122.420045811081)"
4,Thursday,8AM,5PM,17MFF-0195,1800 MISSION ST,1036073,,8:00,17:00,9114000,11/08/2017 09:41:20 AM,,3547,1,N,CARDONA'S FOOD TRUCK,6006720.595,2107881.705,37.76822139,-122.4200458,"(37.7682213930814, -122.420045811081)"
6,Saturday,8AM,5PM,17MFF-0195,1888 MISSION ST,1036076,,8:00,17:00,9114000,11/08/2017 09:43:28 AM,11/08/2017 09:44:53 AM,3547,3,N,CARDONA'S FOOD TRUCK,6006748.628,2107389.255,37.76687082,-122.4199139,"(37.7668708192823, -122.41991389794)"
2,Tuesday,8AM,5PM,17MFF-0195,1800 MISSION ST,1036073,,8:00,17:00,9114000,11/08/2017 09:41:20 AM,,3547,1,N,CARDONA'S FOOD TRUCK,6006720.595,2107881.705,37.76822139,-122.4200458,"(37.7682213930814, -122.420045811081)"
6,Saturday,7AM,6PM,12MFF-0083,79 NEW MONTGOMERY ST,364218,,7:00,18:00,9543000,04/03/2012 02:59:22 PM,05/01/2012 03:10:59 PM,3707,14,N,The Chai Cart,6012448.524,2114861.954,37.78770861,-122.4007238,"(37.7877086092889, -122.400723790401)"
0,Sunday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,1022810,,11:00,15:00,3528000,09/27/2017 04:54:48 PM,11/13/2017 01:43:20 PM,239,3,N,Serendipity SF,6012361.805,2116831.376,37.79311134,-122.4011623,"(37.7931113386248, -122.401162261588)"
6,Saturday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,1022810,,11:00,15:00,3528000,09/27/2017 04:54:48 PM,11/13/2017 01:43:20 PM,239,3,N,Serendipity SF,6012361.805,2116831.376,37.79311134,-122.4011623,"(37.7931113386248, -122.401162261588)"
3,Wednesday,11AM,3PM,17MFF-0181,400 CALIFORNIA ST,1022810,,11:00,15:00,3528000,09/27/2017 04:54:48 PM,11/13/2017 01:43:20 PM,239,3,N,Serendipity SF,6012361.805,2116831.376,37.79311134,-122.4011623,"(37.7931113386248, -122.401162261588)"
1,Monday,12PM,1PM,17MFF-0197,1345 TURK ST,1037695,,12:00,13:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
1,Monday,10AM,11AM,17MFF-0197,1144 LARKIN ST,1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)"
5,Friday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,1037688,,7:00,8:00,10293000,08/09/2011 10:43:50 AM,08/09/2011 10:44:07 AM,1756,1,Y,Munch A Bunch,5996069.561,2106506.456,37.76383946,-122.456787,"(37.7638394608477, -122.456786975662)"
2,Tuesday,10AM,11AM,17MFF-0197,1144 LARKIN ST,1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)"
5,Friday,10AM,11AM,17MFF-0197,1144 LARKIN ST,1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)"
1,Monday,10AM,11AM,17MFF-0197,365 FULTON ST,1037692,,10:00,11:00,5882000,08/09/2011 11:01:33 AM,08/09/2011 11:01:47 AM,792,28,Y,Munch A Bunch,6006015.891,2111737.131,37.77876773,-122.4227573,"(37.7787677332342, -122.42275734107)"
6,Saturday,8AM,4PM,17MFF-0197,1850 MISSION ST,1037696,,8:00,16:00,9114000,08/09/2011 11:07:56 AM,08/09/2011 11:08:40 AM,3547,2,Y,Munch A Bunch,6006736.523,2107601.904,37.76745402,-122.4199709,"(37.7674540216658, -122.419970859837)"
1,Monday,10AM,11AM,17MFF-0197,1525 BRYANT ST,1037693,,10:00,11:00,24215000,08/09/2011 11:03:04 AM,08/09/2011 11:03:23 AM,3922A,001A,Y,Munch A Bunch,6009438.812,2107690.941,37.76785037,-122.4106303,"(37.7678503715903, -122.41063025867)"
1,Monday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,1037688,,7:00,8:00,10293000,08/09/2011 10:43:50 AM,08/09/2011 10:44:07 AM,1756,1,Y,Munch A Bunch,5996069.561,2106506.456,37.76383946,-122.456787,"(37.7638394608477, -122.456786975662)"
2,Tuesday,9AM,10AM,17MFF-0197,333 12TH ST,1037690,,9:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)"
3,Wednesday,9AM,10AM,17MFF-0197,333 12TH ST,1037690,,9:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)"
3,Wednesday,10AM,11AM,17MFF-0197,1144 LARKIN ST,1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)"
5,Friday,10AM,11AM,17MFF-0197,365 FULTON ST,1037692,,10:00,11:00,5882000,08/09/2011 11:01:33 AM,08/09/2011 11:01:47 AM,792,28,Y,Munch A Bunch,6006015.891,2111737.131,37.77876773,-122.4227573,"(37.7787677332342, -122.42275734107)"
3,Wednesday,10AM,11AM,17MFF-0197,365 FULTON ST,1037692,,10:00,11:00,5882000,08/09/2011 11:01:33 AM,08/09/2011 11:01:47 AM,792,28,Y,Munch A Bunch,6006015.891,2111737.131,37.77876773,-122.4227573,"(37.7787677332342, -122.42275734107)"
1,Monday,5AM,6AM,17MFF-0197,2222 17TH ST,1037687,,5:00,6:00,784000,05/19/2011 01:25:10 PM,06/26/2012 10:53:58 AM,3960,1,Y,Munch A Bunch,6010839.437,2106495.602,37.76464667,-122.4057014,"(37.7646466688009, -122.405701430585)"
4,Thursday,10AM,2PM,17MFF-0197,2200 WEBSTER ST,1037694,,10:00,14:00,13547000,08/09/2011 11:03:51 AM,08/09/2011 11:04:13 AM,613,3,Y,Munch A Bunch,6003292.814,2116231.841,37.79095506,-122.4324986,"(37.790955058385, -122.432498648221)"
4,Thursday,9AM,10AM,17MFF-0197,333 12TH ST,1037690,,9:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)"
0,Sunday,8AM,4PM,17MFF-0197,1850 MISSION ST,1037696,,8:00,16:00,9114000,08/09/2011 11:07:56 AM,08/09/2011 11:08:40 AM,3547,2,Y,Munch A Bunch,6006736.523,2107601.904,37.76745402,-122.4199709,"(37.7674540216658, -122.419970859837)"
5,Friday,9AM,10AM,17MFF-0197,333 12TH ST,1037690,,9:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)"
5,Friday,10AM,11AM,17MFF-0197,1345 TURK ST,1037695,,10:00,11:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
1,Monday,10AM,11AM,17MFF-0197,1345 TURK ST,1037695,,10:00,11:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
3,Wednesday,10AM,11AM,17MFF-0197,1345 TURK ST,1037695,,10:00,11:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
4,Thursday,10AM,11AM,17MFF-0197,1144 LARKIN ST,1037691,,10:00,11:00,8137000,08/09/2011 10:50:25 AM,08/09/2011 10:50:44 AM,279,12,Y,Munch A Bunch,6007320.109,2115238.578,37.78845535,-122.4184939,"(37.7884553541868, -122.418493877061)"
2,Tuesday,5AM,6AM,17MFF-0197,2222 17TH ST,1037687,,5:00,6:00,784000,05/19/2011 01:25:10 PM,06/26/2012 10:53:58 AM,3960,1,Y,Munch A Bunch,6010839.437,2106495.602,37.76464667,-122.4057014,"(37.7646466688009, -122.405701430585)"
2,Tuesday,8AM,9AM,17MFF-0197,355 07TH ST,1037689,,8:00,9:00,373000,08/09/2011 10:45:01 AM,08/09/2011 10:45:17 AM,3754,18,Y,Munch A Bunch,6010572.465,2110668.064,37.77608836,-122.4069189,"(37.7760883582323, -122.406918921639)"
2,Tuesday,10AM,11AM,17MFF-0197,365 FULTON ST,1037692,,10:00,11:00,5882000,08/09/2011 11:01:33 AM,08/09/2011 11:01:47 AM,792,28,Y,Munch A Bunch,6006015.891,2111737.131,37.77876773,-122.4227573,"(37.7787677332342, -122.42275734107)"
1,Monday,9AM,10AM,17MFF-0197,333 12TH ST,1037690,,9:00,10:00,546000,08/09/2011 10:45:40 AM,08/09/2011 10:46:06 AM,3521,22,Y,Munch A Bunch,6008401.25,2108731.922,37.77065044,-122.4142927,"(37.770650436068, -122.414292737958)"
3,Wednesday,10AM,2PM,17MFF-0197,2200 WEBSTER ST,1037694,,10:00,14:00,13547000,08/09/2011 11:03:51 AM,08/09/2011 11:04:13 AM,613,3,Y,Munch A Bunch,6003292.814,2116231.841,37.79095506,-122.4324986,"(37.790955058385, -122.432498648221)"
1,Monday,8AM,9AM,17MFF-0197,355 07TH ST,1037689,,8:00,9:00,373000,08/09/2011 10:45:01 AM,08/09/2011 10:45:17 AM,3754,18,Y,Munch A Bunch,6010572.465,2110668.064,37.77608836,-122.4069189,"(37.7760883582323, -122.406918921639)"
5,Friday,5AM,6AM,17MFF-0197,2222 17TH ST,1037687,,5:00,6:00,784000,05/19/2011 01:25:10 PM,06/26/2012 10:53:58 AM,3960,1,Y,Munch A Bunch,6010839.437,2106495.602,37.76464667,-122.4057014,"(37.7646466688009, -122.405701430585)"
4,Thursday,5AM,6AM,17MFF-0197,2222 17TH ST,1037687,,5:00,6:00,784000,05/19/2011 01:25:10 PM,06/26/2012 10:53:58 AM,3960,1,Y,Munch A Bunch,6010839.437,2106495.602,37.76464667,-122.4057014,"(37.7646466688009, -122.405701430585)"
2,Tuesday,10AM,2PM,17MFF-0197,2200 WEBSTER ST,1037694,,10:00,14:00,13547000,08/09/2011 11:03:51 AM,08/09/2011 11:04:13 AM,613,3,Y,Munch A Bunch,6003292.814,2116231.841,37.79095506,-122.4324986,"(37.790955058385, -122.432498648221)"
5,Friday,12PM,1PM,17MFF-0197,1345 TURK ST,1037695,,12:00,13:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
4,Thursday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,1037688,,7:00,8:00,10293000,08/09/2011 10:43:50 AM,08/09/2011 10:44:07 AM,1756,1,Y,Munch A Bunch,5996069.561,2106506.456,37.76383946,-122.456787,"(37.7638394608477, -122.456786975662)"
2,Tuesday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,1037688,,7:00,8:00,10293000,08/09/2011 10:43:50 AM,08/09/2011 10:44:07 AM,1756,1,Y,Munch A Bunch,5996069.561,2106506.456,37.76383946,-122.456787,"(37.7638394608477, -122.456786975662)"
4,Thursday,10AM,11AM,17MFF-0197,1525 BRYANT ST,1037693,,10:00,11:00,24215000,08/09/2011 11:03:04 AM,08/09/2011 11:03:23 AM,3922A,001A,Y,Munch A Bunch,6009438.812,2107690.941,37.76785037,-122.4106303,"(37.7678503715903, -122.41063025867)"
3,Wednesday,8AM,9AM,17MFF-0197,355 07TH ST,1037689,,8:00,9:00,373000,08/09/2011 10:45:01 AM,08/09/2011 10:45:17 AM,3754,18,Y,Munch A Bunch,6010572.465,2110668.064,37.77608836,-122.4069189,"(37.7760883582323, -122.406918921639)"
3,Wednesday,12PM,1PM,17MFF-0197,1345 TURK ST,1037695,,12:00,13:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
5,Friday,8AM,9AM,17MFF-0197,355 07TH ST,1037689,,8:00,9:00,373000,08/09/2011 10:45:01 AM,08/09/2011 10:45:17 AM,3754,18,Y,Munch A Bunch,6010572.465,2110668.064,37.77608836,-122.4069189,"(37.7760883582323, -122.406918921639)"
2,Tuesday,12PM,1PM,17MFF-0197,1345 TURK ST,1037695,,12:00,13:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
3,Wednesday,5AM,6AM,17MFF-0197,2222 17TH ST,1037687,,5:00,6:00,784000,05/19/2011 01:25:10 PM,06/26/2012 10:53:58 AM,3960,1,Y,Munch A Bunch,6010839.437,2106495.602,37.76464667,-122.4057014,"(37.7646466688009, -122.405701430585)"
3,Wednesday,7AM,8AM,17MFF-0197,400 PARNASSUS AVE,1037688,,7:00,8:00,10293000,08/09/2011 10:43:50 AM,08/09/2011 10:44:07 AM,1756,1,Y,Munch A Bunch,5996069.561,2106506.456,37.76383946,-122.456787,"(37.7638394608477, -122.456786975662)"
3,Wednesday,10AM,11AM,17MFF-0197,1525 BRYANT ST,1037693,,10:00,11:00,24215000,08/09/2011 11:03:04 AM,08/09/2011 11:03:23 AM,3922A,001A,Y,Munch A Bunch,6009438.812,2107690.941,37.76785037,-122.4106303,"(37.7678503715903, -122.41063025867)"
1,Monday,10AM,2PM,17MFF-0197,2200 WEBSTER ST,1037694,,10:00,14:00,13547000,08/09/2011 11:03:51 AM,08/09/2011 11:04:13 AM,613,3,Y,Munch A Bunch,6003292.814,2116231.841,37.79095506,-122.4324986,"(37.790955058385, -122.432498648221)"
5,Friday,10AM,11AM,17MFF-0197,1525 BRYANT ST,1037693,,10:00,11:00,24215000,08/09/2011 11:03:04 AM,08/09/2011 11:03:23 AM,3922A,001A,Y,Munch A Bunch,6009438.812,2107690.941,37.76785037,-122.4106303,"(37.7678503715903, -122.41063025867)"
4,Thursday,10AM,11AM,17MFF-0197,1345 TURK ST,1037695,,10:00,11:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
4,Thursday,12PM,1PM,17MFF-0197,1345 TURK ST,1037695,,12:00,13:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
4,Thursday,10AM,11AM,17MFF-0197,365 FULTON ST,1037692,,10:00,11:00,5882000,08/09/2011 11:01:33 AM,08/09/2011 11:01:47 AM,792,28,Y,Munch A Bunch,6006015.891,2111737.131,37.77876773,-122.4227573,"(37.7787677332342, -122.42275734107)"
5,Friday,10AM,2PM,17MFF-0197,2200 WEBSTER ST,1037694,,10:00,14:00,13547000,08/09/2011 11:03:51 AM,08/09/2011 11:04:13 AM,613,3,Y,Munch A Bunch,6003292.814,2116231.841,37.79095506,-122.4324986,"(37.790955058385, -122.432498648221)"
2,Tuesday,10AM,11AM,17MFF-0197,1345 TURK ST,1037695,,10:00,11:00,12728000,08/09/2011 11:05:28 AM,08/09/2011 11:05:51 AM,756,1,Y,Munch A Bunch,6003593.053,2112440.566,37.78056219,-122.4311891,"(37.7805621947803, -122.431189105466)"
4,Thursday,8AM,9AM,17MFF-0197,355 07TH ST,1037689,,8:00,9:00,373000,08/09/2011 10:45:01 AM,08/09/2011 10:45:17 AM,3754,18,Y,Munch A Bunch,6010572.465,2110668.064,37.77608836,-122.4069189,"(37.7760883582323, -122.406918921639)"
2,Tuesday,10AM,11AM,17MFF-0197,1525 BRYANT ST,1037693,,10:00,11:00,24215000,08/09/2011 11:03:04 AM,08/09/2011 11:03:23 AM,3922A,001A,Y,Munch A Bunch,6009438.812,2107690.941,37.76785037,-122.4106303,"(37.7678503715903, -122.41063025867)"
4,Thursday,10AM,8PM,17MFF-0196,2101 MISSION ST,1039786,,10:00,20:00,9117000,11/22/2017 12:43:11 PM,11/22/2017 12:43:44 PM,3575,91,N,Julie's Hot Dogs,6006859.059,2106130.973,37.7634221,-122.4194427,"(37.7634220950109, -122.419442657047)"
3,Wednesday,12AM,3AM,15MFF-0007,2386 MISSION ST,1010174,,0:00,3:00,9121000,08/24/2017 12:15:04 PM,11/22/2017 11:57:56 AM,3596,119,N,Julie's Hot Dogs,6006911.359,2104468.749,37.75886096,-122.4191439,"(37.7588609586287, -122.41914385642)"
2,Tuesday,12AM,3AM,15MFF-0007,2386 MISSION ST,1010174,,0:00,3:00,9121000,08/24/2017 12:15:04 PM,11/22/2017 11:57:56 AM,3596,119,N,Julie's Hot Dogs,6006911.359,2104468.749,37.75886096,-122.4191439,"(37.7588609586287, -122.41914385642)"
1,Monday,12PM,12AM,15MFF-0007,2386 MISSION ST,1010174,,12:00,24:00:00,9121000,08/24/2017 12:15:04 PM,11/22/2017 11:57:56 AM,3596,119,N,Julie's Hot Dogs,6006911.359,2104468.749,37.75886096,-122.4191439,"(37.7588609586287, -122.41914385642)"
2,Tuesday,10AM,8PM,17MFF-0196,2101 MISSION ST,1039786,,10:00,20:00,9117000,11/22/2017 12:43:11 PM,11/22/2017 12:43:44 PM,3575,91,N,Julie's Hot Dogs,6006859.059,2106130.973,37.7634221,-122.4194427,"(37.7634220950109, -122.419442657047)"
3,Wednesday,12PM,12AM,15MFF-0007,2386 MISSION ST,1010174,,12:00,24:00:00,9121000,08/24/2017 12:15:04 PM,11/22/2017 11:57:56 AM,3596,119,N,Julie's Hot Dogs,6006911.359,2104468.749,37.75886096,-122.4191439,"(37.7588609586287, -122.41914385642)"
3,Wednesday,10AM,8PM,17MFF-0196,2101 MISSION ST,1039786,,10:00,20:00,9117000,11/22/2017 12:43:11 PM,11/22/2017 12:43:44 PM,3575,91,N,Julie's Hot Dogs,6006859.059,2106130.973,37.7634221,-122.4194427,"(37.7634220950109, -122.419442657047)"
4,Thursday,12AM,3AM,15MFF-0007,2386 MISSION ST,1010174,,0:00,3:00,9121000,08/24/2017 12:15:04 PM,11/22/2017 11:57:56 AM,3596,119,N,Julie's Hot Dogs,6006911.359,2104468.749,37.75886096,-122.4191439,"(37.7588609586287, -122.41914385642)"
2,Tuesday,12PM,12AM,15MFF-0007,2386 MISSION ST,1010174,,12:00,24:00:00,9121000,08/24/2017 12:15:04 PM,11/22/2017 11:57:56 AM,3596,119,N,Julie's Hot Dogs,6006911.359,2104468.749,37.75886096,-122.4191439,"(37.7588609586287, -122.41914385642)"
3,Wednesday,7AM,6PM,12MFF-0083,79 NEW MONTGOMERY ST,364218,,7:00,18:00,9543000,04/03/2012 02:59:22 PM,05/01/2012 03:10:59 PM,3707,14,N,The Chai Cart,6012448.524,2114861.954,37.78770861,-122.4007238,"(37.7877086092889, -122.400723790401)"
6,Saturday,11AM,5PM,17MFF-0186,2601 24TH ST,988643,,11:00,17:00,1329000,06/19/2017 01:09:20 PM,06/19/2017 01:13:05 PM,4264,1,N,Cochinita,6010852.96,2102256.301,37.75300725,-122.4053561,"(37.7530072517202, -122.405356089362)"
1,Monday,11AM,5PM,17MFF-0186,2601 24TH ST,988643,,11:00,17:00,1329000,06/19/2017 01:09:20 PM,06/19/2017 01:13:05 PM,4264,1,N,Cochinita,6010852.96,2102256.301,37.75300725,-122.4053561,"(37.7530072517202, -122.405356089362)"
2,Tuesday,11AM,5PM,17MFF-0186,2601 24TH ST,988643,,11:00,17:00,1329000,06/19/2017 01:09:20 PM,06/19/2017 01:13:05 PM,4264,1,N,Cochinita,6010852.96,2102256.301,37.75300725,-122.4053561,"(37.7530072517202, -122.405356089362)"
3,Wednesday,9AM,1PM,17MFF-0198,80 SUTTER ST,1042438,,9:00,13:00,12316000,11/29/2017 12:40:56 PM,01/04/2018 10:02:54 AM,289,5,N,Ruru Juice LLC,6012220.695,2115764.105,37.79017299,-122.4015755,"(37.7901729935857, -122.401575470646)"
5,Friday,9AM,1PM,17MFF-0198,80 SUTTER ST,1042438,,9:00,13:00,12316000,11/29/2017 12:40:56 PM,01/04/2018 10:02:54 AM,289,5,N,Ruru Juice LLC,6012220.695,2115764.105,37.79017299,-122.4015755,"(37.7901729935857, -122.401575470646)"
4,Thursday,9AM,1PM,17MFF-0198,601 MISSION ST,1058991,,9:00,13:00,9092000,01/09/2018 11:29:49 AM,01/09/2018 11:35:18 AM,3722,1,N,Ruru Juice LLC,6012725.775,2114944.786,37.78795151,-122.3997704,"(37.7879515059666, -122.399770365102)"
2,Tuesday,9AM,1PM,17MFF-0198,601 MISSION ST,1058991,,9:00,13:00,9092000,01/09/2018 11:29:49 AM,01/09/2018 11:35:18 AM,3722,1,N,Ruru Juice LLC,6012725.775,2114944.786,37.78795151,-122.3997704,"(37.7879515059666, -122.399770365102)"
1,Monday,9AM,1PM,17MFF-0198,80 SUTTER ST,1042438,,9:00,13:00,12316000,11/29/2017 12:40:56 PM,01/04/2018 10:02:54 AM,289,5,N,Ruru Juice LLC,6012220.695,2115764.105,37.79017299,-122.4015755,"(37.7901729935857, -122.401575470646)"
